,Optimal Height,Optimal Value,Scenario
864,[13. 13. 13. 13. 13. 13. 13.],15399218860.633753,2
865,[14. 14. 14. 14. 14. 14. 14.],17052748447.27785,2
866,[13. 13. 13. 13. 13. 13. 13.],14155066292.120121,2
867,[14. 14. 14. 14. 14. 14. 14.],20974100952.722744,2
868,[14. 14. 14. 14. 14. 14. 14.],17900924858.408257,2
869,[13. 13. 13. 13. 13. 13. 13.],16217491529.262823,2
870,[13. 13. 13. 13. 13. 13. 13.],12930880520.132357,2
871,[12. 12. 12. 12. 12. 12. 12.],11319502519.627878,2
872,[13. 13. 13. 13. 13. 13. 13.],15388229514.682888,2
873,[13. 13. 13. 13. 13. 13. 13.],16635251845.678062,2
874,[13. 13. 13. 13. 13. 13. 13.],13746051853.859398,2
875,[13. 13. 13. 13. 13. 13. 13.],14155811465.354053,2
876,[14. 14. 14. 14. 14. 14. 14.],17479305419.219105,2
877,[12. 12. 12. 12. 12. 12. 12.],10108130361.03348,2
878,[12. 12. 12. 12. 12. 12. 12.],12522721153.005796,2
879,[15. 15. 15. 15. 15. 15. 15.],25351632994.504337,2
880,[13. 13. 13. 13. 13. 13. 13.],14160438517.21278,2
881,[13. 13. 13. 13. 13. 13. 13.],16217769209.75375,2
882,[14. 14. 14. 14. 14. 14. 14.],18761463076.702717,2
883,[12. 12. 12. 12. 12. 12. 12.],10108105252.662363,2
884,[14. 14. 14. 14. 14. 14. 14.],19633961553.941986,2
885,[12. 12. 12. 12. 12. 12. 12.],11724394648.823952,2
886,[14. 14. 14. 14. 14. 14. 14.],21424806847.797016,2
887,[14. 14. 14. 14. 14. 14. 14.],17042821515.332668,2
888,[15. 15. 15. 15. 15. 15. 15.],21884200963.497646,2
889,[14. 14. 14. 14. 14. 14. 14.],20510981285.80743,2
890,[13. 13. 13. 13. 13. 13. 13.],14151432205.383919,2
891,[14. 14. 14. 14. 14. 14. 14.],17907907635.451336,2
892,[14. 14. 14. 14. 14. 14. 14.],19206885628.8182,2
893,[13. 13. 13. 13. 13. 13. 13.],15798635374.508808,2
894,[13. 13. 13. 13. 13. 13. 13.],15810558938.290947,2
895,[12. 12. 12. 12. 12. 12. 12.],12116293482.035852,2
896,[14. 14. 14. 14. 14. 14. 14.],20958609640.734936,2
897,[13. 13. 13. 13. 13. 13. 13.],14573539913.430435,2
898,[12. 12. 12. 12. 12. 12. 12.],10102304846.842596,2
899,[13. 13. 13. 13. 13. 13. 13.],15801777696.983398,2
900,[12. 12. 12. 12. 12. 12. 12.],12112114789.854479,2
901,[13. 13. 13. 13. 13. 13. 13.],14982024263.88108,2
902,[14. 14. 14. 14. 14. 14. 14.],20073713576.797512,2
903,[13. 13. 13. 13. 13. 13. 13.],14576703715.57189,2
904,[14. 14. 14. 14. 14. 14. 14.],18339805095.505737,2
905,[14. 14. 14. 14. 14. 14. 14.],18336580202.431282,2
906,[13. 13. 13. 13. 13. 13. 13.],17055422962.682373,2
907,[13. 13. 13. 13. 13. 13. 13.],12933608666.750147,2
908,[14. 14. 14. 14. 14. 14. 14.],18774710612.330696,2
909,[12. 12. 12. 12. 12. 12. 12.],11715477527.939087,2
910,[13. 13. 13. 13. 13. 13. 13.],13343988170.366592,2
911,[14. 14. 14. 14. 14. 14. 14.],20078518054.626537,2
912,[13. 13. 13. 13. 13. 13. 13.],14166456174.529348,2
913,[14. 14. 14. 14. 14. 14. 14.],20073698864.563416,2
914,[14. 14. 14. 14. 14. 14. 14.],20526004640.119892,2
915,[14. 14. 14. 14. 14. 14. 14.],19210698184.825153,2
916,[14. 14. 14. 14. 14. 14. 14.],17897450286.50507,2
917,[13. 13. 13. 13. 13. 13. 13.],16216695606.379063,2
918,[14. 14. 14. 14. 14. 14. 14.],17052661996.610092,2
919,[12. 12. 12. 12. 12. 12. 12.],10904908462.2888,2
920,[14. 14. 14. 14. 14. 14. 14.],18328709998.79963,2
921,[13. 13. 13. 13. 13. 13. 13.],16217259144.435349,2
