,Optimal Height,Optimal Value,Scenario
171,[ 9. 10. 13. 13. 21. 21. 21.],578215457.2461085,1
172,[12. 12. 14. 15. 18. 18. 19.],10125487307.115126,1
173,[11. 12. 12. 18. 18. 18. 18.],9262669111.242567,1
174,[10. 11. 12. 12. 15. 16. 20.],3615402003.2141714,1
175,[12. 12. 13. 16. 16. 18. 18.],10824869837.881395,1
176,[12. 13. 13. 18. 18. 18. 23.],10971855017.252218,1
177,[11. 12. 16. 16. 16. 16. 22.],8182085417.720536,1
178,[11. 12. 14. 14. 16. 16. 25.],10514669386.577883,1
179,[10. 11. 11. 14. 17. 19. 22.],2612478858.7019157,1
180,[12. 13. 16. 18. 18. 18. 20.],11582822514.756033,1
181,[10. 13. 16. 16. 17. 18. 27.],6325105478.87578,1
182,[11. 11. 15. 19. 19. 19. 19.],6094022489.1096735,1
183,[11. 13. 15. 16. 18. 18. 20.],7343455063.036522,1
184,[10. 14. 15. 15. 17. 19. 19.],3720710553.241059,1
185,[10. 11. 14. 14. 16. 16. 24.],5826211060.733884,1
186,[12. 12. 13. 15. 19. 20. 20.],10526095654.818594,1
187,[11. 13. 14. 18. 27. 27. 27.],9063221134.457752,1
188,[11. 11. 13. 13. 16. 16. 16.],8668897255.403376,1
189,[11. 12. 12. 14. 14. 21. 24.],8551766872.845615,1
190,[12. 13. 14. 17. 17. 19. 19.],10482292652.731321,1
191,[10. 10. 12. 16. 16. 16. 20.],3344696945.522004,1
192,[ 8. 13. 13. 18. 18. 18. 22.],-1647200393.661658,1
193,[12. 12. 12. 15. 15. 18. 18.],10842640230.469091,1
194,[10. 12. 13. 13. 18. 18. 19.],5057323571.924016,1
195,[11. 11. 14. 18. 18. 19. 19.],6351162241.459915,1
196,[13. 13. 13. 18. 18. 18. 21.],14035458168.288256,1
197,[10. 14. 14. 14. 16. 18. 18.],4413024505.1371,1
198,[11. 12. 18. 18. 22. 22. 22.],9019639280.010479,1
199,[10. 11. 15. 15. 15. 17. 21.],5395555664.133329,1
200,[10. 11. 16. 16. 16. 16. 16.],4072458477.471221,1
201,[12. 12. 14. 20. 21. 23. 23.],12113651335.300526,1
202,[ 9. 13. 13. 20. 23. 23. 23.],2758988497.191869,1
203,[11. 11. 16. 16. 16. 16. 23.],9165695550.687141,1
204,[10. 10. 16. 16. 16. 16. 22.],4630068706.720481,1
205,[11. 11. 14. 14. 14. 18. 18.],6334334464.1915455,1
206,[11. 13. 16. 16. 16. 16. 19.],6335049944.585193,1
207,[10. 12. 13. 13. 18. 18. 18.],5021303105.259525,1
208,[10. 12. 12. 12. 14. 16. 28.],6099598792.292163,1
209,[12. 13. 14. 15. 17. 21. 21.],10864057115.956898,1
210,[10. 12. 12. 13. 13. 20. 20.],3547142668.435889,1
211,[10. 14. 15. 15. 17. 17. 25.],4623418520.209457,1
212,[11. 12. 12. 16. 18. 18. 19.],7380879655.871989,1
213,[12. 12. 12. 14. 16. 19. 20.],11923061564.554373,1
214,[12. 12. 12. 14. 17. 17. 17.],10110878696.317432,1
215,[12. 12. 15. 15. 20. 23. 23.],9507657643.261192,1
216,[10. 11. 15. 15. 18. 23. 23.],5478122373.603696,1
217,[10. 13. 14. 16. 19. 19. 19.],5685743561.1982355,1
218,[11. 13. 14. 14. 17. 20. 26.],6474977396.818557,1
219,[11. 12. 12. 15. 15. 20. 20.],8418564719.348414,1
220,[11. 11. 11. 18. 18. 19. 19.],9017932361.14262,1
221,[11. 12. 12. 14. 18. 18. 18.],7327433892.2688,1
222,[12. 12. 12. 17. 20. 20. 28.],13720382341.613272,1
223,[12. 12. 13. 17. 17. 17. 23.],9915969718.25998,1
224,[11. 12. 13. 17. 17. 19. 19.],7719976829.164479,1
225,[12. 12. 14. 19. 19. 19. 19.],12030346831.501417,1
226,[11. 16. 16. 16. 16. 17. 22.],6154525787.9981165,1
227,[12. 14. 14. 15. 15. 19. 24.],10559633388.949984,1
228,[12. 12. 12. 12. 12. 22. 22.],12819660024.134798,1
229,[12. 13. 13. 15. 15. 19. 19.],9412605566.846325,1
230,[12. 12. 13. 13. 18. 19. 19.],9492881681.884586,1
231,[10. 12. 12. 14. 14. 20. 21.],2769894186.203417,1
232,[12. 12. 12. 15. 18. 18. 18.],12348482994.904968,1
233,[11. 12. 14. 14. 15. 15. 31.],15082527469.175024,1
234,[11. 11. 12. 18. 18. 18. 19.],6564783125.844195,1
235,[10. 15. 15. 16. 16. 21. 27.],5294451882.629683,1
236,[12. 12. 13. 16. 16. 28. 28.],15292108394.144346,1
237,[10. 13. 14. 14. 14. 19. 21.],5343183713.3333,1
238,[10. 13. 13. 15. 19. 19. 19.],4004026421.2583494,1
239,[10. 11. 17. 17. 17. 19. 19.],3888171953.036364,1
240,[12. 15. 15. 15. 17. 18. 18.],9403001694.936317,1
241,[10. 13. 13. 13. 18. 18. 25.],5575439282.60269,1
242,[10. 12. 12. 16. 17. 21. 21.],3009198584.3350096,1
243,[10. 12. 16. 16. 16. 19. 25.],4794035615.7175455,1
244,[11. 11. 15. 15. 15. 19. 23.],8838339973.386087,1
245,[11. 13. 15. 18. 18. 18. 19.],5971385180.544891,1
246,[11. 11. 18. 18. 18. 25. 25.],9018958242.737846,1
247,[10. 12. 12. 15. 19. 21. 21.],3981546706.1106043,1
248,[12. 12. 15. 15. 18. 19. 21.],9429301298.681774,1
249,[11. 13. 13. 14. 14. 18. 18.],8017240376.137941,1
250,[10. 12. 16. 16. 16. 18. 18.],5667200261.408904,1
251,[11. 12. 14. 15. 15. 15. 17.],5586013808.7999325,1
252,[12. 12. 17. 17. 17. 21. 21.],10617278736.035997,1
253,[11. 11. 16. 16. 16. 21. 21.],9307895041.290848,1
254,[11. 11. 16. 16. 16. 18. 18.],6768798059.031255,1
255,[11. 11. 13. 13. 16. 17. 19.],7675040370.619535,1
256,[10. 12. 14. 14. 17. 17. 17.],5280456598.058254,1
