,Optimal Height,Optimal Value,Scenario
227,[20. 20. 20. 23. 23. 23. 23.],28783152552.74333,1
228,[20. 20. 20. 20. 20. 20. 20.],28146349883.603878,1
229,[20. 20. 20. 23. 23. 23. 23.],26952217582.82126,1
230,[20. 20. 20. 20. 27. 27. 27.],26965718880.01049,1
231,[18. 18. 18. 18. 22. 22. 22.],15410548462.14004,1
232,[21. 21. 21. 23. 23. 23. 23.],31902993104.43211,1
233,[19. 19. 19. 19. 19. 19. 31.],27403587313.648598,1
234,[19. 19. 19. 26. 26. 26. 26.],21772031573.486713,1
235,[18. 18. 18. 18. 24. 24. 24.],19412434247.136433,1
236,[20. 20. 20. 20. 20. 33. 33.],31091920605.36256,1
237,[18. 18. 18. 18. 22. 22. 22.],19931824832.261703,1
238,[18. 18. 18. 18. 27. 27. 27.],17810992792.85227,1
239,[18. 18. 18. 18. 25. 25. 25.],17167475083.575235,1
240,[20. 20. 20. 20. 25. 25. 25.],26935051533.18879,1
241,[18. 18. 18. 18. 26. 26. 26.],20057180163.40359,1
242,[18. 18. 18. 18. 26. 26. 26.],16043479623.133694,1
243,[18. 18. 18. 23. 23. 23. 23.],18828717373.226646,1
244,[20. 20. 20. 23. 23. 23. 23.],25749853492.17827,1
245,[19. 19. 19. 26. 26. 26. 26.],21162940668.840336,1
246,[19. 19. 19. 19. 25. 25. 25.],25179558287.453426,1
247,[18. 18. 18. 18. 27. 27. 27.],17799889775.856495,1
248,[20. 20. 20. 20. 26. 26. 26.],26954286479.30241,1
249,[19. 19. 19. 22. 22. 22. 22.],24563119263.320194,1
250,[19. 19. 19. 19. 23. 23. 23.],20514733906.415615,1
251,[19. 19. 19. 23. 23. 23. 23.],20505984606.751858,1
252,[20. 20. 20. 23. 23. 23. 23.],28773555705.37575,1
253,[20. 20. 20. 23. 23. 23. 23.],26339369208.837154,1
254,[19. 19. 19. 22. 22. 22. 22.],22245788040.42993,1
255,[19. 19. 19. 19. 25. 25. 25.],23986723639.302948,1
256,[18. 18. 18. 18. 25. 25. 25.],19998049477.23482,1
257,[19. 19. 19. 26. 26. 26. 26.],24654339079.652767,1
258,[18. 18. 18. 18. 27. 27. 27.],20065267188.432198,1
259,[20. 20. 20. 23. 23. 23. 23.],26335124566.702446,1
260,[19. 19. 19. 19. 30. 30. 30.],20779743191.431686,1
261,[18. 18. 18. 18. 24. 24. 24.],15452162461.087967,1
262,[18. 18. 18. 26. 26. 26. 26.],18899747494.238457,1
263,[20. 20. 20. 24. 24. 24. 24.],28185024058.058884,1
264,[19. 19. 19. 26. 26. 26. 26.],21164733004.039585,1
265,[20. 20. 20. 20. 26. 26. 26.],27561715754.38567,1
266,[18. 18. 18. 18. 28. 28. 28.],17883470950.148415,1
267,[19. 19. 19. 23. 23. 23. 23.],23990754698.608288,1
268,[18. 18. 18. 18. 18. 32. 32.],26824934559.58117,1
269,[20. 20. 20. 22. 22. 22. 22.],26939585758.630272,1
270,[17. 17. 17. 17. 24. 24. 24.],10961759186.015877,1
271,[19. 19. 19. 19. 28. 28. 28.],22356606022.017483,1
272,[20. 20. 20. 23. 23. 23. 23.],26951570397.682648,1
273,[20. 20. 20. 26. 26. 26. 26.],28837980962.410908,1
274,[19. 19. 19. 19. 19. 19. 28.],26425708485.70324,1
275,[18. 18. 18. 18. 21. 21. 21.],19929355307.509445,1
276,[18. 18. 18. 18. 25. 25. 25.],19455768124.99148,1
277,[17. 17. 17. 17. 28. 28. 28.],9448450818.196833,1
278,[19. 19. 19. 19. 27. 27. 27.],22923897419.057034,1
279,[18. 18. 18. 18. 24. 24. 24.],17688317423.96081,1
280,[19. 19. 19. 22. 22. 22. 22.],25152859501.38715,1
281,[18. 18. 18. 27. 27. 27. 27.],17273507501.171627,1
282,[20. 20. 20. 20. 20. 20. 20.],26325566478.506226,1
283,[18. 18. 18. 18. 22. 22. 22.],19361732218.676025,1
284,[18. 18. 18. 23. 23. 23. 23.],18815360613.120045,1
285,[17. 17. 17. 17. 27. 27. 27.],11643463706.997938,1
286,[19. 19. 19. 19. 28. 28. 28.],23517610345.068592,1
287,[19. 19. 19. 23. 23. 23. 23.],21091482472.527332,1
288,[17. 17. 17. 17. 24. 24. 24.],9850096026.166328,1
289,[18. 18. 18. 18. 21. 21. 21.],19366828952.47486,1
290,[18. 18. 18. 18. 24. 24. 24.],19989920511.334377,1
291,[20. 20. 20. 22. 22. 22. 22.],26924678630.1463,1
292,[20. 20. 20. 20. 20. 20. 20.],27545968943.807278,1
293,[20. 20. 20. 26. 26. 26. 26.],30060082317.446285,1
294,[20. 20. 20. 25. 25. 25. 25.],28181653618.35707,1
295,[21. 21. 21. 21. 21. 21. 21.],31877686252.501812,1
296,[21. 21. 21. 26. 26. 26. 26.],31284341024.407074,1
